,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
783,Renaud Emond\Renaud-Emond,be BEL,FW,Nantes,fr Ligue 1,29-144,1991,3.6,3,2,1,2,0,1,1,100.0,0,61,18,29.5,4,25,32,4,0,0,4,1,4,1,0,Matches
784,Alan Empereur\Alan-Empereur,br BRA,DF,Hellas Verona,it Serie A,27-049,1994,2.4,2,1,2,0,0,1,2,50.0,1,15,6,40.0,8,6,1,2,1,0,1,5,7,5,2,Matches
785,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,es La Liga,23-331,1997,22.0,23,16,3,11,9,5,20,25.0,15,316,75,23.7,26,143,147,13,1,0,12,6,29,21,0,Matches
786,Keita Endo\Keita-Endo,jp JPN,FWMF,Union Berlin,de Bundesliga,23-157,1997,4.3,7,4,2,3,2,1,9,11.1,8,77,20,26.0,24,36,17,9,1,0,8,8,15,3,0,Matches
787,Wataru Endo\Wataru-Endo,jp JPN,MF,Stuttgart,de Bundesliga,28-078,1993,30.8,86,61,35,41,10,29,70,41.4,41,589,215,36.5,215,304,70,57,11,0,46,45,131,69,1,Matches
788,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,31-061,1990,11.2,14,10,4,5,5,4,14,28.6,10,213,73,34.3,19,103,91,10,0,0,10,6,20,7,0,Matches
789,Christian Eriksen\Christian-Eriksen,dk DEN,MF,Inter,it Serie A,29-073,1992,13.1,10,7,7,1,2,5,19,26.3,14,146,44,30.1,37,66,43,17,0,0,17,8,18,13,0,Matches
790,Martin Erlic\Martin-Erlic,hr CRO,DF,Spezia,it Serie A,23-094,1998,18.8,25,17,17,8,0,12,17,70.6,5,207,77,37.2,109,90,8,26,13,0,13,25,50,93,4,Matches
791,Patrick Erras\Patrick-Erras,de GER,FWMF,Werder Bremen,de Bundesliga,26-097,1995,0.3,0,0,0,0,0,0,1,0.0,1,2,2,100.0,0,1,1,1,0,0,1,0,0,0,0,Matches
792,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Lazio,it Serie A,28-032,1993,7.4,25,17,11,12,2,8,23,34.8,15,139,53,38.1,61,67,11,11,2,0,9,7,32,19,0,Matches
793,Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,es La Liga,23-035,1998,8.6,15,12,9,1,5,4,12,33.3,8,127,28,22.0,37,60,30,10,0,0,10,7,22,3,0,Matches
794,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,es La Liga,31-238,1989,4.8,12,8,5,6,1,5,6,83.3,1,61,20,32.8,18,29,14,6,2,0,4,5,17,9,0,Matches
795,Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,es La Liga,29-113,1992,27.2,88,55,62,25,1,43,91,47.3,48,499,133,26.7,294,165,40,69,6,1,63,42,130,84,0,Matches
796,Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,es La Liga,22-116,1999,2.6,7,6,4,2,1,1,4,25.0,3,46,21,45.7,23,18,5,9,3,0,6,5,12,6,0,Matches
797,Nahuel Estévez\Nahuel-Estevez,ar ARG,MF,Spezia,it Serie A,25-165,1995,16.4,13,9,4,6,3,4,32,12.5,28,255,70,27.5,61,132,62,23,5,0,18,25,38,23,0,Matches
798,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,es La Liga,23-097,1998,11.5,31,21,13,14,4,9,15,60.0,6,147,63,42.9,64,58,25,20,2,0,18,26,57,15,2,Matches
799,Yoann Etienne\Yoann-Etienne,fr FRA,DF,Lorient,fr Ligue 1,23-344,1997,1.0,2,1,0,2,0,1,3,33.3,2,21,5,23.8,9,10,2,3,0,0,3,2,4,0,0,Matches
800,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,es La Liga,33-179,1987,9.8,12,6,7,5,0,5,14,35.7,9,77,29,37.7,46,25,6,11,3,0,8,10,22,77,1,Matches
801,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,33-115,1988,26.5,20,11,16,3,1,10,21,47.6,11,165,64,38.8,110,52,3,25,5,0,20,38,58,142,0,Matches
802,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,es La Liga,24-270,1996,23.8,37,23,12,22,3,17,50,34.0,33,365,113,31.0,95,197,73,34,4,0,30,30,67,21,1,Matches
803,Valentin Eysseric\Valentin-Eysseric,fr FRA,MFFW,Fiorentina,it Serie A,29-034,1992,7.3,16,10,7,8,1,5,13,38.5,8,132,30,22.7,44,66,22,11,0,0,11,8,24,5,0,Matches
804,Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,eng Premier League,22-303,1998,24.4,32,18,16,11,5,12,31,38.7,19,264,79,29.9,75,131,58,31,3,0,28,26,58,5,0,Matches
805,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,36-010,1985,31.0,0,0,0,0,0,0,0,,0,7,2,28.6,7,0,0,3,0,0,3,0,0,1,1,Matches
806,Fabinho\Fabinho,br BRA,DFMF,Liverpool,eng Premier League,27-187,1993,23.5,64,46,23,36,5,22,49,44.9,27,266,95,35.7,95,152,19,32,10,0,22,38,102,87,0,Matches
807,Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,30-293,1990,16.7,74,39,44,27,3,30,58,51.7,28,317,101,31.9,158,126,33,47,9,1,38,21,95,65,0,Matches
808,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,fr Ligue 1,33-359,1987,8.9,21,13,9,9,3,9,31,29.0,22,148,40,27.0,32,83,33,12,2,0,10,2,23,6,0,Matches
809,Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,FWMF,Paris S-G,fr Ligue 1,20-103,2001,0.7,1,1,1,0,0,0,0,,0,17,7,41.2,2,8,7,0,0,0,0,1,2,0,0,Matches
810,Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,MF,Brest,fr Ligue 1,20-103,2001,0.5,0,0,0,0,0,0,1,0.0,1,8,4,50.0,1,5,2,0,0,0,0,1,1,0,0,Matches
811,Wout Faes\Wout-Faes,be BEL,DF,Reims,fr Ligue 1,23-025,1998,29.2,45,28,36,9,0,15,35,42.9,20,206,78,37.9,135,66,5,46,26,1,20,47,92,172,4,Matches
812,Nicolò Fagioli\Nicolo-Fagioli,it ITA,MF,Juventus,it Serie A,20-075,2001,0.2,0,0,0,0,0,0,0,,0,5,2,40.0,1,3,1,1,0,0,1,0,0,0,0,Matches
813,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,32-213,1988,16.8,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,0,0,0,0,Matches
814,Romain Faivre\Romain-Faivre,fr FRA,MFFW,Brest,fr Ligue 1,22-288,1998,28.3,60,42,23,30,7,17,45,37.8,28,445,153,34.4,140,198,107,36,0,0,36,28,88,16,0,Matches
815,Fali\Fali,es ESP,DFMF,Cádiz,es La Liga,27-259,1993,25.3,40,19,25,12,3,9,25,36.0,16,249,67,26.9,123,108,18,39,13,1,26,23,63,124,0,Matches
816,Iago Falque\Iago-Falque,es ESP,MFFW,Benevento,it Serie A,31-114,1990,3.4,4,2,2,1,1,1,5,20.0,4,27,11,40.7,9,8,10,2,1,0,1,3,7,2,0,Matches
817,Andri Fannar Baldursson\Andri-Fannar-Baldursson,is ISL,MF,Bologna,it Serie A,19-108,2002,2.3,5,3,3,1,1,1,3,33.3,2,68,12,17.6,24,33,11,5,1,0,4,1,6,8,0,Matches
818,Paolo Faragò\Paolo-Farago,it ITA,DFMF,Cagliari,it Serie A,28-075,1993,4.1,11,3,5,6,0,6,18,33.3,12,73,15,20.5,34,25,14,6,2,0,4,9,20,18,0,Matches
819,Davide Faraoni\Davide-Faraoni,it ITA,DF,Hellas Verona,it Serie A,29-185,1991,27.8,62,33,37,19,6,26,61,42.6,35,337,87,25.8,152,118,67,71,15,0,56,48,110,84,1,Matches
820,Mohamed Fares\Mohamed-Fares,dz ALG,DF,Lazio,it Serie A,25-072,1996,9.7,18,8,8,7,3,8,20,40.0,12,132,25,18.9,45,60,27,23,1,0,22,7,25,6,0,Matches
821,Diego Farias\Diego-Farias,br BRA,FW,Spezia,it Serie A,30-353,1990,15.2,10,7,4,2,4,3,17,17.6,14,170,42,24.7,37,71,62,17,0,0,17,10,20,2,0,Matches
822,Wuilker Faríñez\Wuilker-Farinez,ve VEN,GK,Lens,fr Ligue 1,23-072,1998,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
823,Noah Fatar\Noah-Fatar,fr FRA,FWMF,Angers,fr Ligue 1,19-072,2002,0.2,0,0,0,0,0,0,0,,0,5,0,0.0,1,3,1,0,0,0,0,1,1,0,0,Matches
824,Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,es La Liga,18-179,2002,4.8,8,3,2,3,3,2,5,40.0,3,80,18,22.5,18,29,33,8,0,0,8,1,9,1,0,Matches
825,Julien Faussurier\Julien-Faussurier,fr FRA,DF,Brest,fr Ligue 1,34-104,1987,8.6,16,8,6,9,1,8,17,47.1,9,112,28,25.0,49,49,14,18,4,0,14,5,21,16,0,Matches
826,Andrea Favilli\Andrea-Favilli,it ITA,FW,Hellas Verona,it Serie A,23-346,1997,3.8,3,3,0,1,2,1,2,50.0,1,40,14,35.0,1,14,25,3,1,0,2,0,3,3,0,Matches
827,Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,it Serie A,34-042,1987,4.5,5,4,3,2,0,1,2,50.0,1,39,14,35.9,18,17,4,9,4,1,5,5,10,32,0,Matches
828,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,es La Liga,27-284,1993,25.3,41,33,11,13,17,6,24,25.0,18,501,148,29.5,52,276,173,28,1,0,27,10,51,2,0,Matches
829,Felipe\Felipe,br BRA,DF,Atlético Madrid,es La Liga,31-347,1989,18.8,25,15,18,7,0,10,16,62.5,6,140,44,31.4,78,52,10,33,15,0,18,37,62,144,0,Matches
830,Luiz Felipe\Luiz-Felipe,br BRA,DF,Lazio,it Serie A,24-037,1997,8.3,30,24,23,6,1,13,24,54.2,11,99,38,38.4,51,42,6,20,8,0,12,18,48,20,1,Matches
831,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,de Bundesliga,23-231,1997,29.0,40,24,26,11,3,16,32,50.0,16,274,112,40.9,152,100,22,68,27,0,41,36,76,220,3,Matches
832,João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,es La Liga,21-169,1999,16.0,7,5,2,4,1,2,9,22.2,7,163,54,33.1,15,85,63,7,0,0,7,7,14,3,0,Matches
833,Zinedine Ferhat\Zinedine-Ferhat,dz ALG,MFFW,Nîmes,fr Ligue 1,28-058,1993,29.9,36,18,18,11,7,17,46,37.0,29,329,88,26.7,88,142,99,40,1,0,39,31,67,35,0,Matches
834,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,eng Premier League,26-232,1994,31.3,56,36,19,23,14,17,83,20.5,66,644,159,24.7,106,312,226,40,1,0,39,18,74,22,0,Matches
835,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MFDF,Mainz 05,de Bundesliga,25-013,1996,8.6,9,5,4,5,0,3,10,30.0,7,103,33,32.0,34,50,19,16,6,0,10,20,29,25,0,Matches
836,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,29-360,1991,28.0,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,0,0,2,0,Matches
837,Álex Fernández\Alex-Fernandez,es ESP,MF,Cádiz,es La Liga,28-195,1992,21.6,25,15,9,13,3,9,32,28.1,23,328,69,21.0,119,166,43,23,1,0,22,21,46,24,0,Matches
838,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,es La Liga,23-015,1998,17.0,0,0,0,0,0,0,2,0.0,2,4,3,75.0,3,1,0,0,0,0,0,0,0,1,0,Matches
839,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,es La Liga,34-132,1986,16.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,Matches
840,Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Cádiz,es La Liga,35-018,1986,3.3,9,4,1,8,0,5,12,41.7,7,90,24,26.7,35,45,10,5,1,0,4,9,18,7,0,Matches
841,Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,es La Liga,24-341,1996,1.6,1,0,1,0,0,0,2,0.0,2,17,1,5.9,2,4,11,3,1,0,2,1,2,0,0,Matches
842,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Real Sociedad,es La Liga,24-341,1996,4.1,2,1,0,2,0,1,7,14.3,6,109,24,22.0,13,60,36,6,1,0,5,3,5,5,0,Matches
843,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,eng Premier League,32-066,1989,18.3,32,15,24,6,2,13,24,54.2,11,159,45,28.3,110,43,6,45,27,0,18,13,45,129,1,Matches
844,Joaquín Fernández\Joaquin-Fernandez,es ESP,DF,Valladolid,es La Liga,24-332,1996,20.0,21,12,13,8,0,4,16,25.0,12,136,44,32.4,81,48,7,34,14,0,20,28,49,143,1,Matches
845,Fernandinho\Fernandinho,br BRA,MF,Manchester City,eng Premier League,35-359,1985,11.1,25,18,5,14,6,10,30,33.3,20,173,55,31.8,35,110,28,8,0,0,8,20,45,29,0,Matches
846,Fernando\Fernando,br BRA,MF,Sevilla,es La Liga,33-277,1987,24.9,64,50,31,27,6,27,52,51.9,25,331,121,36.6,139,151,41,41,8,0,33,35,99,71,0,Matches
847,Alex Ferrari\Alex-Ferrari,it ITA,DF,Sampdoria,it Serie A,26-301,1994,8.9,29,20,18,10,1,9,20,45.0,11,138,63,45.7,68,58,12,15,5,0,10,14,43,30,0,Matches
848,David Ferreiro\David-Ferreiro,es ESP,MFFW,Huesca,es La Liga,33-027,1988,23.5,25,12,12,8,5,6,37,16.2,31,407,90,22.1,114,198,95,37,1,0,36,11,36,9,0,Matches
849,Salvador Ferrer\Salvador-Ferrer,es ESP,DF,Spezia,it Serie A,23-097,1998,11.2,,8,,,,,,,,,,,,,,,,,,18,,,,Matches
850,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Celta Vigo,es La Liga,30-045,1991,3.2,2,2,0,2,0,1,1,100.0,0,58,12,20.7,6,34,18,3,0,0,3,0,2,2,0,Matches
851,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Montpellier,fr Ligue 1,29-047,1992,28.0,81,60,50,27,4,31,105,29.5,74,568,203,35.7,235,275,58,37,6,1,31,17,98,22,0,Matches
852,Fidel\Fidel,es ESP,MFDF,Elche,es La Liga,31-183,1989,22.1,40,26,25,10,5,20,68,29.4,48,347,89,25.6,152,144,51,34,4,0,30,11,51,17,0,Matches
853,Sam Field\Sam-Field,eng ENG,MF,West Brom,eng Premier League,22-355,1998,0.7,9,7,4,5,0,2,3,66.7,1,22,10,45.5,8,13,1,6,1,0,5,0,9,4,0,Matches
854,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,de Bundesliga,32-086,1989,5.7,3,1,0,2,1,1,3,33.3,2,77,26,33.8,14,35,28,7,1,0,6,1,4,4,0,Matches
855,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,eng Premier League,29-208,1991,27.5,33,21,4,13,16,10,32,31.3,22,482,140,29.0,60,220,202,50,3,0,47,9,42,9,0,Matches
856,Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,es La Liga,24-249,1996,2.7,2,2,1,1,0,0,1,0.0,1,27,11,40.7,13,10,4,5,3,0,2,3,5,5,0,Matches
857,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,eng Premier League,29-247,1991,23.6,39,21,22,13,4,12,53,22.6,41,429,106,24.7,151,207,71,33,4,0,29,30,69,15,0,Matches
858,Alessandro Florenzi\Alessandro-Florenzi,it ITA,DF,Paris S-G,fr Ligue 1,30-048,1991,17.0,29,19,13,11,5,14,40,35.0,26,167,54,32.3,52,68,47,16,1,0,15,16,45,27,0,Matches
859,Kingsley Fobi\Kingsley-Fobi,gh GHA,DF,Granada,es La Liga,22-220,1998,0.5,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,0,0,1,0,0,1,0,Matches
860,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,eng Premier League,20-335,2000,16.1,23,15,9,9,5,9,18,50.0,9,263,80,30.4,44,96,123,12,1,0,11,12,35,9,0,Matches
861,Mamadou Fofana\Mamadou-Fofana,ml MLI,MFDF,Metz,fr Ligue 1,23-097,1998,11.4,31,14,20,11,0,10,33,30.3,23,166,47,28.3,99,64,3,19,3,0,16,14,45,41,0,Matches
862,Seko Fofana\Seko-Fofana,ci CIV,MF,Lens,fr Ligue 1,25-356,1995,21.7,19,11,5,11,3,8,31,25.8,23,290,93,32.1,91,144,55,31,5,0,26,27,46,16,0,Matches
863,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Leicester City,eng Premier League,20-132,2000,21.4,54,35,34,19,1,15,30,50.0,15,206,63,30.6,113,85,8,41,17,0,24,38,92,106,0,Matches
864,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,20-132,2000,3.5,6,5,5,1,0,3,4,75.0,1,27,13,48.1,20,5,2,8,3,0,5,4,10,18,0,Matches
865,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Monaco,fr Ligue 1,22-108,1999,28.3,90,75,33,47,10,19,63,30.2,44,499,194,38.9,143,300,56,41,4,0,37,37,127,26,1,Matches
866,Thomas Foket\Thomas-Foket,be BEL,DF,Reims,fr Ligue 1,26-215,1994,33.0,80,43,49,22,9,24,54,44.4,30,392,115,29.3,215,124,53,64,6,0,58,50,130,91,0,Matches
867,Ramón Folch\Ramon-Folch,es ESP,MF,Elche,es La Liga,31-206,1989,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
868,Lamine Fomba\Lamine-Fomba,fr FRA,MF,Nîmes,fr Ligue 1,23-092,1998,21.8,67,46,29,29,9,19,58,32.8,39,573,162,28.3,167,307,99,52,18,0,34,34,101,37,2,Matches
869,Thomas Fontaine\Thomas-Fontaine,mg MAD,DF,Lorient,fr Ligue 1,29-355,1991,3.6,5,2,4,1,0,1,4,25.0,3,35,11,31.4,27,8,0,4,2,0,2,1,6,19,0,Matches
870,José Fontán\Jose-Fontan,es ESP,DF,Celta Vigo,es La Liga,21-076,2000,6.7,14,7,10,4,0,3,11,27.3,8,92,24,26.1,42,46,4,10,3,0,7,9,23,44,0,Matches
871,José Fonte\Jose-Fonte,pt POR,DF,Lille,fr Ligue 1,37-127,1983,32.4,44,24,32,9,3,27,36,75.0,9,177,62,35.0,107,57,13,58,29,0,29,29,73,173,1,Matches
872,Fernando Forestieri\Fernando-Forestieri,it ITA,FWMF,Udinese,it Serie A,31-103,1990,4.7,8,5,5,2,1,1,3,33.3,2,90,30,33.3,16,36,38,7,0,0,7,1,9,1,0,Matches
873,Pablo Fornals\Pablo-Fornals,es ESP,FWMF,West Ham,eng Premier League,25-065,1996,23.6,32,21,13,15,4,6,69,8.7,63,474,96,20.3,149,224,101,43,1,0,42,24,56,6,1,Matches
874,Emil Forsberg\Emil-Forsberg,se SWE,FWMF,RB Leipzig,de Bundesliga,29-187,1991,14.9,13,7,1,6,6,3,19,15.8,16,267,84,31.5,29,107,131,14,1,0,13,7,20,3,0,Matches
875,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,eng Premier League,33-042,1988,6.0,0,0,0,0,0,0,1,0.0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,3,0,Matches
876,Philipp Förster\Philipp-Forster,de GER,FWMF,Stuttgart,de Bundesliga,26-083,1995,14.2,28,21,11,14,3,6,21,28.6,15,225,64,28.4,53,102,70,17,2,0,15,15,43,6,0,Matches
877,Steven Fortes\Steven-Fortes,cv CPV,DF,Lens,fr Ligue 1,29-011,1992,13.9,30,16,13,16,1,10,15,66.7,5,155,49,31.6,87,59,9,19,7,1,12,23,53,78,0,Matches
878,Yassin Fortune\Yassin-Fortune,fr FRA,FW,Angers,fr Ligue 1,22-088,1999,0.2,0,0,0,0,0,0,0,,0,8,1,12.5,0,4,4,0,0,0,0,0,0,0,0,Matches
879,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,eng Premier League,23-116,1998,0.9,3,1,2,1,0,1,1,100.0,0,7,2,28.6,3,4,0,1,0,0,1,1,4,1,0,Matches
880,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Leverkusen,de Bundesliga,23-116,1998,4.5,9,5,5,3,1,4,6,66.7,2,38,17,44.7,14,19,5,13,1,0,12,6,15,6,0,Matches
881,Daam Foulon\Daam-Foulon,be BEL,DF,Benevento,it Serie A,22-036,1999,10.7,23,8,18,5,0,12,27,44.4,15,130,35,26.9,80,40,10,28,3,0,25,6,29,30,0,Matches
882,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,es La Liga,28-036,1993,23.6,33,22,19,10,4,12,24,50.0,12,254,76,29.9,104,115,35,32,3,0,29,23,56,58,1,Matches
883,Juan Foyth\Juan-Foyth,ar ARG,DFMF,Villarreal,es La Liga,23-106,1998,13.0,42,26,25,11,6,9,31,29.0,22,198,65,32.8,81,101,16,35,8,1,27,19,61,31,1,Matches
884,Gianluca Frabotta\Gianluca-Frabotta,it ITA,DF,Juventus,it Serie A,21-308,1999,7.7,7,6,4,2,1,2,12,16.7,10,98,26,26.5,38,36,24,15,2,0,13,12,19,17,0,Matches
885,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,de Bundesliga,25-234,1995,16.6,40,15,22,11,7,14,29,48.3,15,200,52,26.0,105,66,29,61,6,0,55,26,66,61,1,Matches
886,Ryan Fraser\Ryan-Fraser,sco SCO,FWMF,Newcastle Utd,eng Premier League,27-063,1994,10.3,4,1,3,1,0,0,2,0.0,2,116,19,16.4,18,51,47,8,0,0,8,2,6,3,0,Matches
887,Fred\Fred,br BRA,MF,Manchester Utd,eng Premier League,28-054,1993,23.9,79,51,31,38,10,24,73,32.9,49,575,176,30.6,202,275,98,59,8,0,51,46,125,31,0,Matches
888,Ryan Fredericks\Ryan-Fredericks,eng ENG,DFFW,West Ham,eng Premier League,28-200,1992,6.0,13,6,7,6,0,6,13,46.2,7,64,12,18.8,37,13,14,15,2,0,13,8,21,21,0,Matches
889,Remo Freuler\Remo-Freuler,ch SUI,MF,Atalanta,it Serie A,29-013,1992,25.8,65,49,20,34,11,16,60,26.7,44,545,165,30.3,133,277,135,48,3,0,45,46,111,34,0,Matches
890,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,de Bundesliga,23-043,1998,29.6,61,38,38,20,3,28,58,48.3,30,323,92,28.5,192,115,16,66,18,0,48,61,122,136,1,Matches
891,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,de Bundesliga,25-136,1995,31.0,58,37,36,22,0,19,38,50.0,19,341,138,40.5,189,128,24,65,20,0,45,39,97,126,0,Matches
892,Jeremie Frimpong\Jeremie-Frimpong,nl NED,DFFW,Leverkusen,de Bundesliga,20-139,2000,4.8,6,2,4,2,0,2,6,33.3,4,82,28,34.1,24,29,29,8,0,0,8,3,9,9,0,Matches
893,Jorge de Frutos\Jorge-de-Frutos,es ESP,MFFW,Levante,es La Liga,24-067,1997,19.3,45,28,15,22,8,12,40,30.0,28,361,99,27.4,87,150,124,26,3,0,23,15,60,17,1,Matches
894,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,eng Premier League,35-021,1986,7.8,15,9,13,1,1,5,14,35.7,9,87,23,26.4,53,27,7,16,4,1,12,12,27,31,0,Matches
895,Angelo Fulgini\Angelo-Fulgini,fr FRA,MF,Angers,fr Ligue 1,24-251,1996,27.5,26,13,5,15,6,9,40,22.5,31,326,87,26.7,52,190,84,20,2,0,18,14,40,8,0,Matches
896,Niclas Füllkrug\Niclas-Fullkrug,de GER,FW,Werder Bremen,de Bundesliga,28-078,1993,7.9,6,5,1,4,1,2,15,13.3,13,170,42,24.7,11,82,77,10,4,0,6,4,10,9,0,Matches
897,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Villarreal,es La Liga,30-054,1991,5.1,5,2,3,2,0,3,4,75.0,1,33,12,36.4,17,16,0,5,4,0,1,7,12,33,0,Matches
898,Darnell Furlong\Darnell-Furlong,eng ENG,DF,West Brom,eng Premier League,25-179,1995,27.6,34,12,19,10,5,15,34,44.1,19,234,62,26.5,108,84,42,69,16,1,53,24,58,102,1,Matches
899,Baptiste Gabard\Baptiste-Gabard,fr FRA,MF,Saint-Étienne,fr Ligue 1,21-090,2000,1.5,4,3,0,4,0,0,6,0.0,6,44,17,38.6,18,25,1,8,1,0,7,0,4,0,1,Matches
900,Matteo Gabbia\Matteo-Gabbia,it ITA,DF,Milan,it Serie A,21-189,1999,6.2,6,4,1,5,0,0,1,0.0,1,62,21,33.9,26,33,3,12,8,0,4,5,11,26,0,Matches
901,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FWMF,Sampdoria,it Serie A,29-153,1991,6.6,1,1,0,0,1,1,4,25.0,3,65,14,21.5,6,31,28,2,1,0,1,2,3,6,0,Matches
902,Mijat Gaćinović\Mijat-Gacinovic,rs SRB,DFMF,Hoffenheim,de Bundesliga,26-079,1995,8.8,17,9,6,10,1,6,19,31.6,13,140,49,35.0,48,57,35,21,1,0,20,15,32,16,0,Matches
903,Roberto Gagliardini\Roberto-Gagliardini,it ITA,MF,Inter,it Serie A,27-021,1994,12.0,25,13,10,10,5,8,31,25.8,23,207,55,26.6,78,95,34,17,3,0,14,13,38,16,0,Matches
904,Riccardo Gagliolo\Riccardo-Gagliolo,se SWE,DF,Parma,it Serie A,31-000,1990,19.7,52,28,35,12,5,19,35,54.3,16,227,76,33.5,137,67,23,41,8,0,33,26,78,58,0,Matches
905,Adolfo Gaich\Adolfo-Gaich,ar ARG,FW,Benevento,it Serie A,22-081,1999,6.8,10,3,2,7,1,0,9,0.0,9,159,32,20.1,11,87,61,7,0,0,7,2,12,3,0,Matches
906,Andrey Galabinov\Andrey-Galabinov,bg BUL,FW,Spezia,it Serie A,32-152,1988,4.8,1,1,1,0,0,1,1,100.0,0,58,16,27.6,2,30,26,2,0,0,2,0,1,4,0,Matches
907,Javi Galán\Javi-Galan,es ESP,DF,Huesca,es La Liga,26-160,1994,30.6,100,70,51,44,5,39,75,52.0,36,494,171,34.6,228,220,46,62,4,0,58,22,122,52,0,Matches
908,Conor Gallagher\Conor-Gallagher,eng ENG,MF,West Brom,eng Premier League,21-081,2000,23.1,63,44,25,30,8,15,74,20.3,59,559,142,25.4,181,279,99,53,6,0,47,28,91,25,0,Matches
909,Enric Gallego\Enric-Gallego,es ESP,FW,Osasuna,es La Liga,34-228,1986,7.7,9,6,4,2,3,0,8,0.0,8,144,39,27.1,16,62,66,7,0,0,7,0,9,7,0,Matches
910,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,es La Liga,33-354,1987,11.4,7,6,4,1,2,3,10,30.0,7,171,43,25.1,32,69,70,11,1,0,10,0,7,1,0,Matches
