,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
100,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,33-016,1988,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
101,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,30-268,1990,29.4,105,81,44,53,8,48,119,40.3,71,632,222,35.1,193,379,60,65,12,1,53,55,160,67,0,Matches
102,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,26-218,1994,27.1,59,38,29,24,6,16,43,37.2,27,508,156,30.7,170,277,61,41,8,0,33,55,114,31,1,Matches
103,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,24-211,1996,18.3,34,29,15,17,2,17,37,45.9,20,241,87,36.1,86,128,27,28,4,0,24,13,47,9,0,Matches
104,Ángel\Angel,es ESP,GK,Granada,es La Liga,18-310,2002,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,es La Liga,23-048,1998,1.5,1,1,0,0,1,0,0,,0,18,4,22.2,13,3,2,3,2,0,1,0,1,20,0,Matches
106,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,31-235,1989,6.5,9,5,4,2,3,6,10,60.0,4,50,20,40.0,18,20,12,6,0,0,6,8,17,21,1,Matches
107,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,de Bundesliga,24-114,1997,22.7,39,16,15,22,2,8,23,34.8,15,239,85,35.6,78,107,54,37,1,0,36,29,68,39,1,Matches
108,Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,it Serie A,19-316,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
109,Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,18-213,2002,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,1,1,1,0,0,0,0,0,0,0,0,Matches
110,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,it Serie A,34-220,1986,16.2,39,21,20,16,3,21,33,63.6,12,210,66,31.4,90,72,48,21,5,0,16,25,64,20,1,Matches
111,Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,de Bundesliga,24-282,1996,27.1,33,20,22,11,0,8,28,28.6,20,250,92,36.8,156,85,9,50,18,2,32,45,78,114,0,Matches
112,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,es La Liga,22-280,1998,0.3,0,0,0,0,0,0,1,0.0,1,12,2,16.7,2,10,0,1,0,0,1,1,1,0,0,Matches
113,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,31-031,1990,17.2,11,5,1,5,5,2,7,28.6,5,189,53,28.0,13,68,108,19,8,0,11,8,19,8,0,Matches
114,Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,it Serie A,20-170,2000,2.2,6,3,5,1,0,3,9,33.3,6,27,7,25.9,18,8,1,9,3,0,6,2,8,11,0,Matches
115,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,22-302,1998,17.5,16,10,0,9,7,5,23,21.7,18,232,69,29.7,37,113,82,13,1,0,12,14,30,3,0,Matches
